id,Carma,Geo,WRI,Country,Fueltype,Classification,Capacity,lat,lon
290,Neurath,Neurath Boa,Neurath,Germany,Coal,Sub-critical Thermal/Ultra-Super-Critical Thermal,4405.0,51.0447264567,6.599670472
291,Claus,Claus,Clauscentrale,Netherlands,Natural Gas,Super-critical Thermal/Combined Cycle Gas Turbine,1920.0,51.1488908235,5.90053677191
292,Weisweiler,Weisweiler,Weisweiler,Germany,Coal,Sub-critical Thermal,2180.0,50.83591385,6.318265844
293,Aberthaw,Aberthaw,Aberthaw B,United Kingdom,Coal,Sub-critical Thermal,1500.0,51.6891995333,-3.5168603
294,Huckingen,Duisberg Huckingen,Huckingen,Germany,Natural Gas,Heat and Power Steam Turbine/Sub-critical Thermal,1246.0,51.3649061,6.72688093333
295,Dormagen Rwe,Dormagen,Dormagen,Germany,Natural Gas,Power and Heat Combined Cycle Gas Turbine,560.0,51.0843938467,6.83222797433
296,Amer,Amer,Amercentrale,Netherlands,Coal,Sub-critical Thermal,1245.0,51.7055566667,4.84325333333
297,Ibbenburen B,Ibbenburen,IbbenbüRen,Germany,Coal,Sub-critical Thermal,838.0,52.2842629967,7.73648262633
298,Urreiting,Urreiting,Urreiting,Austria,Hydro,Dam with run-of-river generation,16.0,47.37909165,13.21338335
299,St Johann,St. Johann,St. Johann,Austria,Hydro,Dam with run-of-river generation,16.0,47.3369189,13.24814445
300,Kreuzbergmaut,Kreuzbergmaut,Kreuzbergmaut,Austria,Hydro,Dam with run-of-river generation,18.0,47.42893335,13.21373335
301,Bischofhofen,Bischofshofen,Bischofshofen,Austria,Hydro,Dam with run-of-river generation,16.0,47.41183335,13.21858335
302,Wehr,Wehr,Wehr,Germany,Hydro,Pumped Storage Power Plant,992.0,47.6410630591,7.91521696625
303,Chatelard,Chatelard Vallorcine,ChâTelard Vallorcine,Switzerland,Hydro,Dam on a lake,189.0,46.0615793115,6.95874713109
304,Foyers,Foyers Scotland,Foyers Falls,United Kingdom,Hydro,Pumped Storage Power Plant,300.0,57.1003056076,-4.3629380453
305,Plate Taille,Plate Taille Project Belgeium,Plate Taille T,Belgium,Hydro,Pumped Storage Power Plant,144.0,50.2084424291,4.38181838684
306,Verbois,Verbois,Verbois,Switzerland,Hydro,Dam with run-of-river generation,100.0,46.23801665,6.09738335
307,Chancy Pougny,Chancy Pougny,Chancy Pougny,Switzerland,Hydro,Dam with run-of-river generation,49.0,46.1604,5.9766
308,Hopflauenen Trift,Hopflauenen,Hopflauenen Trift,Switzerland,Hydro,Dam on a lake,92.0,46.462883675,7.764466425
309,Grimsel  Ost,Grimsel,Grimsel,Switzerland,Hydro,Dam on river with reservoir/Pumped Storage Power Plant,415.0,46.4420050266,8.05608684495
310,Seujet,Seujet,Seujet,Switzerland,Hydro,Dam with run-of-river generation,5.6,46.2042,6.1355
311,Ybbs Persenberg,Ybbs Persenburg,Ybbs Persenbeug,Austria,Hydro,Dam with run-of-river generation,236.5,48.18916,15.0682
312,Wallsee Mitterkirchen,Wallsee Mitterkirchen,Wallsee Mitterkirchen,Austria,Hydro,Dam with run-of-river generation,210.0,48.16656,14.6953
313,Annabrucke,Annabruecke,AnnabrüCke,Austria,Hydro,Dam with run-of-river generation,90.0,46.5612,14.4795
314,Coolkeeragh,Coolkeeragh Esb Northern,Coolkeeragh,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,408.0,54.850291425,-6.90605760484
315,Croix,Croix,Croix,Switzerland,Hydro,Dam on a lake,66.0,46.63709745,7.44002434058
316,Gabi,Gabi,Gabi,Switzerland,Hydro,Dam on a lake,11.0,46.1882,8.0702
317,Letsi,Letsi,Letsi,Sweden,Hydro,Dam on river with reservoir,456.0,66.5024,20.3797
318,Ferlach Maria Rain,Ferlach Maria Rain,Ferlach Maria Rain,Austria,Hydro,Dam with run-of-river generation,75.0,46.5462,14.2985
319,Feistritz Ludmannsdorf,Feistritz Ludmannsdorf,Feistritz Ludmannsdorf,Austria,Hydro,Dam with run-of-river generation,88.0,46.5347,14.1712
320,Aldeadavila,Aldeadavila,Aldeadavila,Spain,Hydro,Dam on river with reservoir,1230.0,41.21167,-6.68556
321,Niederried Radelfingen,Niederried Radelfingen,Niederried,Switzerland,Hydro,Weir on a River,15.0,47.0031,7.241
322,Rosegg St Jakob,Rosegg St. Jakob,Rosegg St. James,Austria,Hydro,Dam with run-of-river generation,80.0,46.5696,14.0268
323,Abwinden Asten,Abwinden Asten,Abwinden Asten,Austria,Hydro,Barrage with run-of-river Generation,168.0,48.24798,14.4305
324,Mayrhofen (Zemm),Mayrhofen,Mayrhofen,Austria,Hydro,Dam on river with reservoir,345.0,47.158065,11.850133
325,Marghera Levante,Edison Marghera Levante,Levante,Italy,Natural Gas,Combined Cycle Gas Turbine,766.0,45.4414954,12.29489495
326,Sloy,Loch Sloy,Sloy,United Kingdom,Hydro,Dam on a lake,130.0,56.5186556,-4.41287585
327,Werdohl Elverlingsen,Werdohl Elverlingsen E,Werdohl Elverlingsen,Germany,Coal,,487.0,51.2668012479,7.73550298125
328,,A2A Del Mincio,Cte Mincio,Italy,Natural Gas,Combined Cycle Gas Turbine,400.0,45.40590755,10.7007104
329,,As Pontes Puentes Garcia Rodrigues,Ctcc As Pontes,Spain,Natural Gas,Combined Cycle Gas Turbine,850.0,43.4451,-7.8621
330,,Aussois + Combe D'Avrieux,Combe D'Avrieux,France,Hydro,Dam on a lake,198.0,45.215,6.712
331,,Bahia Algeciras,Ctcc Bahia Algeciras,Spain,Natural Gas,Combined Cycle Gas Turbine,800.0,36.1829,-5.3905
332,,Ballylumford C Northern,Ballylumford C,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,600.0,54.749841425,-6.17436760485
333,,Borssele,Borssele,Netherlands,Nuclear,,515.0,51.4311,3.7175
334,,Butgenbach,Butgenbach,Belgium,Hydro,Dam on river with reservoir,1.8,50.4359,6.2106
335,,Cas Tresorer,Cas Tresorer Tg Cc,Spain,Natural Gas,Combined Cycle Gas Turbine,460.0,39.5672,2.6895
336,,Combigolfe,Combigolfe,France,Natural Gas,Combined Cycle Gas Turbine,430.0,43.4072,4.8676
337,,Croix Metz Toul,Croix Metz,France,Natural Gas,Combined Cycle Gas Engine (CCGE),413.0,48.675,5.8917
338,,Eglisau,Eglisau,Switzerland,Hydro,Dam with run-of-river generation,47.0,47.277923,8.098799
339,,Flevo Maxima Centrale,Maxima,Netherlands,Natural Gas,Combined Cycle Gas Turbine,860.0,52.5765256,5.52956375
340,,Floriffoux,Hu Floriffoux,Belgium,Hydro,Barrage with run-of-river Generation,0.8,50.4468,4.7767
341,,Hemweg,Hemweg,Netherlands,Natural Gas,Power and Heat Combined Cycle Gas Turbine,435.0,52.4035851,4.8460052
342,,Hydro Vierre,Vierre,Belgium,Hydro,Dam on river with reservoir,1.9,49.733,5.377
343,,Jochenstein,Jochenstein,Austria,Hydro,Dam with run-of-river generation,132.0,48.5184,13.7076
344,,Kaprun Klammsee,Klammsee,Austria,Hydro,Dam with run-of-river generation,1.0,47.2591,12.7389
345,,Kaprun Limberg,Kaprun Limberg,Austria,Hydro,Pumped Storage Power Plant,593.0,47.19765,12.72076
346,,Kilroot Ocgt,Kilroot Ocgt,United Kingdom,Natural Gas,Open Cycle Gas Turbine,142.0,54.690991425,-6.16386760485
347,,Knippegroen,Zelzate Knippegroen,Belgium,Natural Gas,Combined Cycle Gas Turbine,350.0,51.1587,3.8068
348,,Langeweide,Lage Wide,Netherlands,Natural Gas,Power and Heat Combined Cycle Gas Turbine,266.0,52.10995435,5.0591037
349,,Lough Ree,Lough Rea,Ireland,Coal,Sub-critical Thermal,100.0,53.6747,-7.984
350,,Magnum Netherland,Magnum,Netherlands,Natural Gas,Combined Cycle Gas Turbine,1290.0,53.44219415,6.85695515
351,,Marcinelle Energie Carsid,Marcinelle Energie Carsid,Belgium,Natural Gas,Combined Cycle Gas Turbine,410.0,50.4138,4.4067
352,,Martigues Ponteau,Martigues Ponteau,France,Natural Gas,Combined Cycle Gas Turbine,930.0,43.3585119,5.021612
353,,Mochovce,Mochovce,Slovakia,Nuclear,,880.0,48.2621,18.459
354,,Moerdijk,Moerdijk,Netherlands,Natural Gas,Combined Cycle Gas Turbine/Power and Heat Combined Cycle Gas Turbine,769.0,51.6852998,4.58077855
355,,Monsin,Hu Monsin,Belgium,Hydro,Barrage with run-of-river Generation,19.7,50.6517,5.6308
356,,Nant Drance,Nant Drance,Switzerland,Hydro,Pumped Storage Power Plant,900.0,46.5117291,8.04184805793
357,,Puerto Barcelona,Puerto Barcelona,Spain,Natural Gas,Combined Cycle Gas Turbine,850.0,41.3366,2.1594
358,,Roca3,Roca ,Netherlands,Natural Gas,,218.0,51.9535562,4.5618952
359,,Sabon,Ctcc Sabon,Spain,Natural Gas,Combined Cycle Gas Engine (CCGE),400.0,43.329,-8.503
360,,Santurtzi Santurce,Santurce,Spain,Natural Gas,Combined Cycle Gas Turbine,400.0,43.34,-3.05394
361,,Sarlux Cagliari Igcc,Sarlux,Italy,Natural Gas,Combined Cycle Gas Turbine,550.0,39.59749065,9.01843865
362,,Severn,Severn Power,United Kingdom,Natural Gas,Combined Cycle Gas Turbine,848.0,51.9201558,-3.35696495
363,,Sorgenia Bertonico Turano Lodigiano,Di Turano Lodigiano Bertonico Lo,Italy,Natural Gas,Combined Cycle Gas Turbine,800.0,45.21544925,9.66407574941
364,,Soto Ribera,Soto Ribera,Spain,Coal,Sub-critical Thermal,615.0,43.3122,-5.87423
365,,Tirrenopower Vado Ligure,Vado Ligure,Italy,Natural Gas,Combined Cycle Gas Turbine,800.0,44.2755,8.4305
366,,Wallnerau Salzach,Wallnerau Salzach Stage,Austria,Hydro,Dam with run-of-river generation,13.0,47.316,13.14095
367,,Wallnerau Unterwasser,Wallnerau Underwater Stage,Austria,Hydro,Water discharged from another project,5.0,47.31554,13.140946
368,,Werfen Pfarrwerfen,Werfen Pfarrwerfen,Austria,Hydro,Dam with run-of-river generation,16.0,47.4698,13.1945
369,,West Burton,West Burton,United Kingdom,Natural Gas,,1305.0,53.3631,-0.7976
370,,Whitegate,Whitegate,Ireland,Natural Gas,Combined Cycle Gas Turbine,435.0,51.8161,-8.2511
371,Barby,,Kwk Anlage Barby,Germany,Natural Gas,,18.0,52.049414275,11.7752899764
372,Etten Leur,,Etten Leur,Netherlands,Wind,,6.5,51.5812485985,4.7095923045
373,Cortijo  Guerra,,Cortijo Guerra,Spain,Wind,,68.8,36.686454,-6.136063
374,Navia,,Navia,Spain,Natural Gas,,24.0,42.05201,-6.489395
375,Paxareiras Runa,,Paxareiras Iif Runa,Spain,Wind,,24.6,42.823295044,-9.08912658691
376,Paxareiras  Monte,,Paxareiras Montevos Paxareiras,Spain,Wind,,78.0,42.823295044,-9.08912658691
377,Glens Of Foudland,,Glens Of Foudland,United Kingdom,Wind,,26.0,57.1167581915,-3.45006699939
378,Barrow Offshore,,Barrow,United Kingdom,Wind,,90.0,53.183602025,-1.86525230372
379,Pical,,Pical,Spain,Wind,,30.85,42.936202,-4.308332
380,Toranzo,,Toranzo,Spain,Wind,,27.06,41.763101,-1.888179
381,Ciprian,,Ciprian,Spain,Wind,,17.85,42.17328,-6.659583
382,Aguallal,,Aguallal Ampl. Re,Spain,Wind,,36.83,42.035687,-6.905408
383,Bobia  Isidro,,Bobia Isidro,Spain,Wind,,49.3,43.5166667,-6.6833333
384,Canto,,Canto Ampliada Con Re,Spain,Wind,,20.28,41.084511,-3.859921
385,Dukovany,,Dukovany,Czech Republic,Nuclear,,2000.0,49.085,16.1488888889
386,Temelin,,Temelin,Czech Republic,Nuclear,,2160.0,49.18,14.3761111111
387,Wahlitz,,WäHlitz,Germany,Coal,,37.4,51.15,12.0833333
388,Deuben,,Deuben,Germany,Coal,,86.0,51.11760775,12.0445301
389,Heidenheim,,Ihkw Heidenheim,Germany,Natural Gas,,26.5,48.6773738033,10.1522738398
390,Cottam,,Cottam,United Kingdom,Coal,,2100.0,53.0499542416,-0.726188881217
391,West Burton,,West Burton,United Kingdom,Coal,,2012.0,53.360733,-0.811551
392,Mudefer,,Mudefer,Spain,Wind,,57.6,41.0333333,0.25
393,Hinojal,,Hinojal,Spain,Wind,,21.2,36.01393,-5.606949
394,Pedregoso,,Pedregoso D,Spain,Wind,,48.6,36.01393,-5.606949
395,Huelva Gemasa,,Gemasa,Spain,Natural Gas,,27.31,37.2583333,-6.9508333
396,Canredondo,,Canredondo,Spain,Wind,,28.0,40.812572,-2.493773
397,Bolarque,,Bolarque,Spain,Hydro,,242.94,40.419023,-2.922556
398,Belesar,,Belesar,Spain,Hydro,,331.01,42.608758658,-7.77115345001
399,Tambre,,Tambre,Spain,Hydro,,73.04,42.7858267671,-8.88733863831
400,Las Picadas,,Picadas,Spain,Hydro,,24.32,40.3235958272,-4.20319318771
401,Camporriondi,,Camporriondi,Spain,Hydro,,15.2,43.3513965522,-5.12915611267
402,Regueiro (Mao),,Regueiro,Spain,Hydro,,28.64,42.3825770118,-7.56842136383
403,Portodemouros,,Portodemouros,Spain,Hydro,,88.12,42.309432,-8.204886
404,Frieira Ecologico,,Frieira,Spain,Hydro,,178.15,42.1396684973,-8.10125827789
405,Burguillo,,Burguillo,Spain,Hydro,,61.95,40.4153258319,-4.50156211853
406,Buendia,,Buendia,Spain,Hydro,,55.29,40.3664274192,-2.75645256042
407,Castrejon,,Castrejon,Spain,Hydro,,80.73,39.887964,-4.453876
408,Aalter,,Aalter Tj,Belgium,Oil,,20.0,51.090167,3.44693
409,Farge ,,Farge,Germany,Coal,,350.0,53.138943065,8.661659263
410,Garraf,,Vertedero Garraf,Spain,Waste,,12.504,41.3887868891,2.15898513794
411,Romerbrucke,,RöMerbrüCke,Germany,Natural Gas,,125.0,49.23384755,6.9981897
412,Coo Trois Ponts,,Coo T,Belgium,Hydro,,1164.0,50.3712790769,5.87146282196
413,Beveren Phenolchemie,,Beveren Ineos Phenolchemie,Belgium,Natural Gas,,22.8,51.211872,4.25633
414,Tortosa Energia,,Tortosa Energia,Spain,Natural Gas,,39.58,40.812492,0.521602
415,Colortex Ontinyent,,Colortex,Spain,Natural Gas,,13.6,38.8166667,-0.6166667
416,Tine,,Monthey Tine,Switzerland,Hydro,,9.8,46.255457,6.960665
417,Lessoc,,Lessoc,Switzerland,Hydro,,8.56,46.5048393845,7.06211686134
418,Avise,,Avise,Italy,Hydro,,146.7,45.70872365,7.1398219
419,Valpelline,,Valpelline,Italy,Hydro,,130.0,45.824862,7.3255
420,Redondal,,Redondal,Spain,Wind,,30.6,42.579427,-6.468368
421,Vikesa,,Vikesa,Norway,Hydro,,5.0,58.63759,6.09133
422,Dalmine,,Tenaris Dalmine S..,Italy,Natural Gas,,131.0,45.635556,9.609722
423,Moralejo,,Moralejo,Spain,Wind,,28.25,38.9666667,-1.2166667
424,Biddinghuizen Windst,,Windstroom,Netherlands,Wind,,10.8,52.455,5.693056
425,Burbo Bank,,Burbo Bank,United Kingdom,Wind,,90.0,52.8296404304,-1.76590258033
426,Hollandsbjerg,,Hollandsbjerg,Denmark,Wind,,16.5,56.495178,10.278246
427,Kentish Flats,,Kentish Flats,United Kingdom,Wind,,90.0,51.40585955,0.016104329751
428,Gunfleet Sands,,Gunfleet Sands,United Kingdom,Wind,,185.0,51.6203422478,0.081238185951
429,Tjaerborg,,TjæReborg Enge,Denmark,Wind,,17.0,55.464574,8.579683
430,Stade Dow,,Dow Stade,Germany,Natural Gas,,268.4,53.59989695,9.47938555
431,Drax,,Drax,United Kingdom,Coal,,4065.0,53.8336105445,-1.0823700036
432,Vassli,,Vassli,Norway,Hydro,,12.0,63.2166667,9.6333333
433,Arnoia,,C.H. Arnoya Modificada,Spain,Hydro,,11.4,42.2505671113,-8.13112735748
