id,CARMA,FIAS,GEO,OPSD,WRI,Country,Fueltype,Classification,Capacity,lat,lon,File
1868,,Artificial Powerplant,,,,Bulgaria,Hydro,Reservoir,120.0,42.3416132583,24.2878363779,
1869,,Artificial Powerplant,,,,Bulgaria,Hydro,Reservoir,120.0,42.2599687284,23.5113360423,
1870,,Artificial Powerplant,,,,Croatia,Hydro,Reservoir,120.0,45.0020148073,14.8086310459,
1871,,Artificial Powerplant,,,,Croatia,Hydro,Reservoir,120.0,43.406557645,17.0492578705,
1872,,Artificial Powerplant,,,,Czech Republic,Hydro,Run-Of-River,120.0,49.4045737152,14.0981893158,
1873,,Artificial Powerplant,,,,Czech Republic,Hydro,Run-Of-River,120.0,49.6432551368,14.4540947595,
1874,,Artificial Powerplant,,,,Czech Republic,Hydro,Run-Of-River,120.0,49.4681678137,14.0875920427,
1875,,Artificial Powerplant,,,,Czech Republic,Hydro,Run-Of-River,120.0,49.9083188925,15.68696196,
1876,,Artificial Powerplant,,,,Czech Republic,Hydro,Run-Of-River,120.0,49.9160975573,14.626583222,
1877,,Artificial Powerplant,,,,Finland,Hydro,Run-Of-River,120.0,61.0563210862,29.3516959053,
1878,,Artificial Powerplant,,,,Finland,Hydro,Run-Of-River,120.0,60.6980409731,29.4470747876,
1879,,Artificial Powerplant,,,,Finland,Hydro,Run-Of-River,120.0,60.5987399706,29.2133031668,
1880,,Artificial Powerplant,,,,Finland,Hydro,Run-Of-River,120.0,60.3376111382,28.6897023299,
