None,Name,Name,Name,Name,Fueltype,Fueltype,Fueltype,Fueltype,Classification,Classification,Classification,Classification,Country,Country,Country,Country,Capacity,Capacity,Capacity,Capacity,lat,lat,lat,lat,lon,lon,lon,lon,File,File,File,File
721,Casella,Enel casella,,Casella c.le,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,1512.0,1504.0,,1465.85,45.090278,45.0904,,45.0590671,9.480278,9.4805,,9.4341783,,,,Italy Power Plant.csv
722,Teruel,Teruel andorra,,Teruel,Coal,Coal,,Coal,,"Thermal, Lignite",,,Spain,Spain,,Spain,1050.0,1050.0,,1055.77,40.997107,40.9972,,,-0.380582,-0.3806,,,,,,Spain Power Plants Over 10 MW.csv
723,Tolle,Enel porto tolle,,Porto tolle,Oil,Oil,,Oil,,CHP,,,Italy,Italy,,Italy,2640.0,2640.0,,2640.0,44.949686,44.9569,,44.9177128,12.324526,12.4883,,12.4021857,,,,Italy Power Plant.csv
724,Roncovalgrande delio,Roncovalgrande,,Roncovalgrande,Hydro,Hydro,,Hydro,,Pumped Storage,,,Italy,Italy,,Italy,1000.0,1016.0,,1000.0,46.0435697247,46.0702,,46.07368475,8.73413085938,8.7339,,8.7764084691,,,,Italy Power Plant.csv
725,Sulcis,Enel sulcis grazia deledda,,Sulcis centr,Coal,Coal,,Coal,,Thermal,,,Italy,Italy,,Italy,580.0,585.0,,580.0,39.195278,39.1961,,40.0912813,8.4,8.4002,,9.0305773,,,,Italy Power Plant.csv
726,Litoral almeria,Litoral almeira carboneras,,Litoral almeria,Coal,Coal,,Coal,,Thermal,,,Spain,Spain,,Spain,1100.0,1158.0,,1119.59,36.980187,36.9783,,,-1.903682,-1.9054,,,,,,Spain Power Plants Over 10 MW.csv
727,Barbara enel,Santa barbara,,Santa barbara,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,390.0,390.0,,390.0,43.563056,43.565,,43.5218737,11.478056,11.4777,,11.4889722,,,,Italy Power Plant.csv
728,Torrevaldaliga,Enel torrevaldaliga nord,,Torrevaldaliga nord,Coal,Coal,,Coal,,Thermal,,,Italy,Italy,,Italy,660.0,1980.0,,1980.0,42.121111,42.1269,,42.0937524,11.768333,11.7583,,11.7922462,,,,Italy Power Plant.csv
729,Fiorano,San fiorano,,S.fiorano,Hydro,Hydro,,Hydro,,Pumped Storage,,,Italy,Italy,,Italy,560.4,568.0,,544.0,45.136368,46.0442,,46.0559889,9.722165,10.3521,,10.3439901,,,,Italy Power Plant.csv
730,Presenzano,Presenzano domenico cimarosa,,Presenzano,Hydro,Hydro,,Hydro,,Pumped Storage,,,Italy,Italy,,Italy,1000.0,1000.0,,1005.0,41.376619,41.38158,,41.376619,14.07642,14.09034,,14.07642,,,,Italy Power Plant.csv
731,Corsini,Enel porto corsini teodora,,Porto corsini,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,750.0,750.0,,750.0,44.484444,44.4836,,44.4161414,12.266111,12.2652,,12.2017617,,,,Italy Power Plant.csv
732,Bexbach,Bexbach,,Bexbach,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,773.0,773.0,,721.0,49.36487575,49.3631,,49.3481028,7.235540744,7.23778,,7.2547607,,,,Germany Power Plants (conventional).csv
733,Einaudi rovina,Entracque rovina piastra,,Entracque rovina,Hydro,Hydro,,Hydro,,Pumped Storage,,,Italy,Italy,,Italy,125.0,134.0,,125.0,44.241425,44.2256,,44.241425,7.399331,7.3817,,7.399331,,,,Italy Power Plant.csv
734,Edolo,Edolo,,Edolo,Hydro,Hydro,,Hydro,,Pumped Storage,,,Italy,Italy,,Italy,1280.0,1000.0,,950.0,46.178199,46.171,,46.178199,10.329159,10.348,,10.329159,,,,Italy Power Plant.csv
735,Vannucci bastardo,Enel pietro vannucci bastardo,,Bastardo,Coal,Coal,,Coal,,"Thermal, Lignite",,,Italy,Italy,,Italy,150.0,150.0,,150.0,42.893333,42.8971,,42.9094087,12.539722,12.5381,,12.5558159,,,,Italy Power Plant.csv
736,Cristobal colon,Cristobal colon,,Cristobal colon,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,400.0,400.0,,390.94,37.19141,37.2156,,,-6.943695,-6.943,,,,,,Spain Power Plants Over 10 MW.csv
737,Nossener bruecke,Nossener brücke,,Dresden nossener brücke,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Germany,Germany,,Germany,268.0,270.0,,263.0,51.050891081,51.04206,,51.0493286,13.7383174896,13.7086,,13.7381437,,,,Germany Power Plants (conventional).csv
738,Brindisi enipower,Enipower spa brindisi,,Enipower brindisi,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,1170.0,1321.0,,1170.0,40.634722,40.6293,,40.6395295,18.009722,18.0033,,17.945526,,,,Italy Power Plant.csv
739,Munchen,Munchen nord,,Nord,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,390.0,360.0,,332.7,48.18117717,48.1805,,48.1949828,11.63984435,11.6393,,11.6449481,,,,Germany Power Plants (conventional).csv
740,Olkiluoto,Olkiluoto tvo finland,,Olkiluoto,Nuclear,Nuclear,,Nuclear,,,,,Finland,Finland,,Finland,1755.0,1920.0,,1820.0,61.2369444444,61.2371,,,21.4408333333,21.4433,,,,,,EU Nuclear Power.csv
741,Tynagh,Tynagh,,Tynagh,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Ireland,Ireland,,Ireland,404.0,404.0,,388.5,53.1666,53.1658,,,-8.38215,-8.381,,,,,,Ireland and Northern Ireland.csv
742,Westfalen,Westfalen hamm,,Westfalen,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,672.0,1600.0,,1049.0,51.66532782,51.6766,,51.6916014,7.939497841,7.9724,,7.9483887,,,,Germany Power Plants (conventional).csv
743,Markersbach,Markersbach,,Markersbach,Hydro,Hydro,,Hydro,,,,,Germany,Germany,,Germany,1050.0,1045.0,,1045.2,50.5333333,51.10454,,50.4268875,12.8666667,13.20174,,12.5448012,,,,Germany Power Plants (conventional).csv
744,Charlottenburg,Charlottenburg,,Charlottenburg,Natural Gas,Natural Gas,,Natural Gas,,"Heat OCGT, Power",,,Germany,Germany,,Germany,200.0,214.0,,633.0,52.5243681651,52.5222,,52.5170365,13.4105300903,13.3093,,13.3888599,,,,Germany Power Plants (conventional).csv
745,Goldisthal,Goldisthal,,Goldisthal,Hydro,Hydro,,Hydro,,Pumped Storage,,,Germany,Germany,,Germany,1060.67,1060.0,,1052.0,50.5166667,50.5075,,50.5187418,11.0,11.0049,,11.0045155,,,,Germany Power Plants (conventional).csv
746,Wedel,Wedel,,Wedel,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,392.0,391.7,,260.0,53.56645804,53.5667,,53.5810226,9.725653553,9.72528,,9.7038772,,,,Germany Power Plants (conventional).csv
747,Reuter west,Reuter west,,West,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,600.0,600.0,,640.0,52.53525965,52.535,,53.4850249,13.24373542,13.2427,,9.1362085,,,,Germany Power Plants (conventional).csv
748,Porjus nya,Porjus,,Porjus,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Sweden,Sweden,,Sweden,480.0,465.0,,430.0,66.9592699603,66.959,,,19.8207092285,19.80232,,,,,,Sweden Power Plant.csv
749,Boden,Boden,,Boden,Hydro,Hydro,,Hydro,,Barrage With Run-Of-River Generation,,,Sweden,Sweden,,Sweden,74.0,78.0,,80.0,65.8251808129,65.8078,,,21.6886425018,21.6716,,,,,,Sweden Power Plant.csv
750,Emsland lingen,Lingen emsland,,Emsland,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Germany,Germany,,Germany,1793.25,886.0,,1837.0,52.498673435,52.4828,,52.5224659,7.311361982,7.3039,,7.316584,,,,Germany Power Plants (conventional).csv
751,Villach,Villach,,Villach,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,25.322,24.6,,25.0,46.6102778,46.6329,,,13.8558333,13.8294,,,,,,Verbund Power Plant.csv
752,Greifenstein,Greifenstein,,Greifenstein,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,311.1,293.0,,293.0,48.3466663765,48.3553,,,16.2422561646,16.2424,,,,,,Verbund Power Plant.csv
753,Lavamund,Lavamuend,,Lavamünd,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,27.99,28.0,,28.0,46.6401850321,46.6433,,,14.9473285675,14.9377,,,,,,Verbund Power Plant.csv
754,Paternion,Paternion,,Paternion,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,23.5,24.0,,24.0,46.7141667,46.72089,,,13.6361111,13.6453,,,,,,Verbund Power Plant.csv
755,Kellerberg,Kellersberg,,Kellerberg,Hydro,Hydro,,Hydro,,Barrage With Run-Of-River Generation,,,Austria,Austria,,Austria,24.6,24.6,,25.0,46.67,46.67,,,13.6886111,13.7255,,,,,,Verbund Power Plant.csv
756,Huntstown,Huntstown,,Huntstown,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Ireland,Ireland,,Ireland,741.1,747.0,,747.0,53.4126,53.4119,,,-6.32518,-6.3261,,,,,,Ireland and Northern Ireland.csv
757,Lada,Lada,,Ct lada,Coal,Coal,,Coal,,Thermal,,,Spain,Spain,,Spain,513.0,513.0,,347.7,43.30750477,43.3081,,,-5.69091796875,-5.7,,,,,,Spain Power Plants Over 10 MW.csv
758,Saucelle,Saucelle,,Saucelle,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Spain,Spain,,Spain,496.0,525.0,,516.39,41.047688,41.045,,,-6.753282,-6.8067,,,,,,Spain Power Plants Over 10 MW.csv
759,Cofrentes,Cofrentes,,Cofrentes,Nuclear,Nuclear,,Nuclear,,,,,Spain,Spain,,Spain,1092.0,1092.0,,1102.0,39.2166666667,39.2134,,,-1.05,-1.0509,,,,,,EU Nuclear Power.csv
760,Arcos iberdrola,Arcos frontera,,Arcos frontera,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Spain,Spain,,Spain,1581.0,1600.0,,1585.39,36.675206,36.6721,,,-5.815155,-5.8164,,,,,,Spain Power Plants Over 10 MW.csv
761,Ricobayo esla,Ricobayo,,Ricobayo,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Spain,Spain,,Spain,283.2,291.0,,326.57,41.520984,41.5274,,,-5.970316,-5.9857,,,,,,Spain Power Plants Over 10 MW.csv
762,Villalcampo,Villalcampo,,Villalcampo,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Spain,Spain,,Spain,206.0,206.0,,215.81,41.522292,41.4913,,,-6.048012,-6.0861,,,,,,Spain Power Plants Over 10 MW.csv
763,Jose oriol,Jose maria oriol alcantara,,"Jose oriol,",Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Spain,Spain,,Spain,933.76,957.0,,953.32,39.71895,39.73,,,-6.883755,-6.88472,,,,,,Spain Power Plants Over 10 MW.csv
764,Cruachan,Cruachan scotland,,Cruachan,Hydro,Hydro,,Hydro,,Pumped Storage,,,United Kingdom,United Kingdom,,United Kingdom,400.0,400.0,,440.0,56.4022250161,56.394,,56.7861112,-4.97779735959,-5.115,,-4.1140517,,,,UK Power Plant.csv
765,Villarino,Almendra villarino,,Villarino,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Spain,Spain,,Spain,810.0,842.0,,850.88,42.939316,41.27016,,,-6.319434,-6.3208,,,,,,Spain Power Plants Over 10 MW.csv
766,Saltend,Saltend,,Saltend,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,United Kingdom,United Kingdom,,United Kingdom,1200.0,1200.0,,1200.0,53.737063,53.7348018795,,53.93092085,-0.238931,-0.24341583252,,-1.1668220316,,,,UK Power Plant.csv
767,Ffestiniog,Ffestiniog wales,,Ffestiniog,Hydro,Hydro,,Hydro,,Pumped Storage,,,United Kingdom,United Kingdom,,United Kingdom,360.0,360.0,,360.0,52.9946403077,52.9807,,52.2928116,-3.93696784973,-3.9686,,-3.7389299,,,,UK Power Plant.csv
768,Dinorwig,Dinorwig,,Dinorwig,Hydro,Hydro,,Hydro,,Pumped Storage,,,United Kingdom,United Kingdom,,United Kingdom,1890.0,1728.0,,1728.0,53.141261785,53.1181,,52.2928116,-4.2701625824,-4.10318,,-3.7389299,,,,UK Power Plant.csv
769,Moncalieri,Iride moncalieri,,Moncalieri,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,667.0,778.0,,790.0,44.994722,44.993,,45.0004614,7.676389,7.6755,,7.6847543,,,,Italy Power Plant.csv
770,Frimmersdorf,Frimmersdorf,,Frimmersdorf,Coal,Coal,,Coal,,"Lignite, Thermal",,,Germany,Germany,,Germany,2100.0,2413.0,,562.0,51.0563888889,51.0555,,51.0451807,6.5769444444,6.5767,,6.5774377,,,,Germany Power Plants (conventional).csv
771,Koepchenwerk,Koepchenwerk herdecke,,Koepchenwerk,Hydro,Hydro,,Hydro,,Pumped Storage,,,Germany,Germany,,Germany,150.0,154.0,,153.0,51.5166667,51.4102,,51.4001119,7.45,7.4526,,7.4330062,,,,Germany Power Plants (conventional).csv
772,Gundremmingen,Gundremmingen,,Gundremmingen,Nuclear,Nuclear,,Nuclear,,,,,Germany,Germany,,Germany,2688.0,2688.0,,2688.0,48.5147222222,48.51488,,,10.4022222222,10.4012,,,,,,EU Nuclear Power.csv
773,Ems lingen,Emsland,,Emsland,Nuclear,Nuclear,,Nuclear,,,,,Germany,Germany,,Germany,1400.0,1400.0,,1406.0,52.4742305556,52.4716,,,7.3178583333,7.3204,,,,,,EU Nuclear Power.csv
774,Mainz,Mainz wiesbaden,,Mainz,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Germany,Germany,,Germany,776.0,755.0,,434.2,50.02687764,50.0264,,49.9999952,8.237530529,8.2373,,8.2710237,,,,Germany Power Plants (conventional).csv
775,Modugno sorgenia,Sorgenia modugno,,Sorgenia puglia centrale di modugno,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Italy,Italy,,Italy,770.0,760.0,,800.0,41.097433,41.1025,,41.0825639,16.777983,16.756,,16.7805515,,,,Italy Power Plant.csv
776,Ronkhausen,Rönkhausen,,Pumpspeicherwerk rönkhausen,Hydro,Hydro,,Hydro,,Pumped Storage,,,Germany,Germany,,Germany,140.0,140.0,,138.0,51.2166667,51.2247,,51.1729047,7.9666667,7.9934,,7.9724577,,,,Germany Power Plants (conventional).csv
777,Munchen,Munchen sud,,Süd,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Germany,Germany,,Germany,763.89,698.0,,651.9,48.1257607899,48.1143,,48.1371079,11.5656115592,11.5559,,11.5753822,,,,Germany Power Plants (conventional).csv
778,Vittjarv,Vittjarv,,Vittjarv,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Sweden,Sweden,,Sweden,36.0,30.0,,33.0,65.85,65.8453,,,21.5666667,21.5545,,,,,,Sweden Power Plant.csv
779,Knapsack chemiepark,Knapsack,,Knapsack natural,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Germany,Germany,,Germany,800.0,800.0,,1230.0,50.85911832,50.8593,,50.8594256,6.840717206,6.841,,6.8547678,,,,Germany Power Plants (conventional).csv
780,Erzhausen,Erzhausen,,Erzhausen,Hydro,Hydro,,Hydro,,Pumped Storage,,,Germany,Germany,,Germany,246.0,220.0,,220.0,51.8666667,51.899,,51.85756365,9.9666667,9.9243,,9.9604208766,,,,Germany Power Plants (conventional).csv
781,Dublin bay,Dublin bay ringsend,,Dublin bay,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Ireland,Ireland,,Ireland,408.0,408.0,,415.0,53.3419444,53.34,,,-6.2263889,-6.2049,,,,,,Ireland and Northern Ireland.csv
782,Harspranget,Harspranget,,Harspranget,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Sweden,Sweden,,Sweden,970.0,977.0,,871.0,66.9592699603,66.8857,,,19.8207092285,19.8186,,,,,,Sweden Power Plant.csv
783,Ringhals,Ringhals,,Ringhals,Nuclear,Nuclear,,Nuclear,,,,,Sweden,Sweden,,Sweden,3831.0,3832.0,,4055.0,57.2597222222,57.25737,,,12.1108333333,12.10874,,,,,,EU Nuclear Power.csv
784,Messaure,Messaure,,Messaure,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Sweden,Sweden,,Sweden,456.0,442.0,,463.0,66.6066486613,66.6855,,,19.8232412338,20.3359,,,,,,Sweden Power Plant.csv
785,Wendefurth,Wendefurth,,Wendefurth,Hydro,Hydro,,Hydro,,Pumped Storage,,,Germany,Germany,,Germany,80.0,80.0,,79.7,51.7333333,51.739,,51.7404141,10.9166667,10.9069,,10.922405,,,,Germany Power Plants (conventional).csv
786,Stornorrfors,Stornorrfors,,Stornorrfors,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Sweden,Sweden,,Sweden,580.0,591.0,,599.0,63.8284245148,63.8803,,,20.2597224712,20.0184,,,,,,Sweden Power Plant.csv
787,Ligga,Ligga,,Ligga,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Sweden,Sweden,,Sweden,351.4,324.0,,332.0,66.9592699603,66.8094,,,19.8207092285,19.8968,,,,,,Sweden Power Plant.csv
788,Klingenberg,Klingenberg,,Klingenberg,Coal,Coal,,Coal,,"Lignite, Thermal",,,Germany,Germany,,Germany,180.0,188.0,,164.0,52.49003031,52.4889,,52.5170365,13.49598008,13.4968,,13.3888599,,,,Germany Power Plants (conventional).csv
789,Janschwalde,Janschwalde,,Jänschwalde,Coal,Coal,,Coal,,"Lignite, Thermal",,,Germany,Germany,,Germany,3000.0,3000.0,,2790.0,51.8347222222,51.8347,,51.8568691,14.4602777778,14.4603,,14.4211319823,,,,Germany Power Plants (conventional).csv
790,Hojum,Hojum,,Hojum,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Sweden,Sweden,,Sweden,160.0,170.0,,184.0,58.2836544017,58.2804,,,12.2886371613,12.2787,,,,,,Sweden Power Plant.csv
791,Boxberg,Boxberg,,Boxberg,Coal,Coal,,Coal,,Lignite,,,Germany,Germany,,Germany,1907.0,2575.0,,2427.0,51.41885253,51.4161,,51.3872813,14.57435685,14.564722,,14.587484957,,,,Germany Power Plants (conventional).csv
792,Alvkarleby,Alvkarleby,,Alvkarleby,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Sweden,Sweden,,Sweden,111.0,125.0,,116.0,60.5333333,60.56368,,60.4370246,17.4,17.44205,,17.3395575,,,,Sweden Power Plant.csv
793,Lichterfelde,Berlin lichterfelde plantgermany,,Lichterfelde,Natural Gas,Natural Gas,,Natural Gas,,Thermal,,,Germany,Germany,,Germany,450.0,450.0,,432.0,52.5243681651,52.4247,,52.5170365,13.4105300903,13.3102,,13.3888599,,,,Germany Power Plants (conventional).csv
794,Laxede,Laxede,,Laxede,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Sweden,Sweden,,Sweden,206.1,207.0,,222.0,66.2244340313,66.2242,,,20.8671569824,20.86,,,,,,Sweden Power Plant.csv
795,Schwarze pumpe,Schwarze pumpe,,Schwarze pumpe,Coal,Coal,,Coal,,"Lignite, Thermal",,,Germany,Germany,,Germany,1600.0,1600.0,,1500.0,51.53537295,51.5357,,51.5784211,14.35383702,14.3538,,14.3773461487,,,,Germany Power Plants (conventional).csv
796,Mitte berlin,Berlin mite,,Mitte,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Germany,Germany,,Germany,386.0,444.0,,444.0,52.5243681651,52.5116,,52.5170365,13.4105300903,13.421,,13.3888599,,,,Germany Power Plants (conventional).csv
797,Forsmark,Forsmark,,Forsmark,Nuclear,Nuclear,,Nuclear,,,,,Sweden,Sweden,,Sweden,3320.0,3275.0,,3383.0,60.4033333333,60.40283,,,18.1666666667,18.17435,,,,,,EU Nuclear Power.csv
798,Freudenau,Freudenau,,Vienna freudenau,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,186.8,172.0,,172.0,48.2084877602,48.1766,,,16.3720750809,16.4814,,,,,,Verbund Power Plant.csv
799,Funsingau,Funsingau,,Funsingau,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Austria,Austria,,Austria,27.0,25.0,,25.0,47.2166667,47.2354,,,12.0,12.05826,,,,,,Verbund Power Plant.csv
800,Hausling,Haeusling,,Häusling,Hydro,Hydro,,Hydro,,Pumped Storage,,,Austria,Austria,,Austria,360.0,360.0,,360.0,47.15,47.14613,,,11.9666667,11.967519,,,,,,Verbund Power Plant.csv
801,Gerlos,Gerlos,,Gerlos,Hydro,Hydro,,Hydro,,Dam On River With Reservoir,,,Austria,Austria,,Austria,200.2,200.0,,200.0,47.2333333,47.23417,,,11.8833333,11.89972,,,,,,Verbund Power Plant.csv
802,Melk,Melk,,Melk,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,200.7,187.0,,187.0,48.2273672513,48.2232,,,15.3318607807,15.3042,,,,,,Verbund Power Plant.csv
803,Schwabek,Schwabeck,,Schwabeck,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,78.9,79.0,,79.0,46.650556,46.658,,,14.850556,14.8726,,,,,,Verbund Power Plant.csv
804,Aschach,Aschach,,Aschach,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,266.8,287.0,,287.0,48.0131234861,48.3853,,,14.3354415894,14.023,,,,,,Verbund Power Plant.csv
805,Altenworth,Altenwoerth,,Altenwörth,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,349.5,328.0,,328.0,48.3833333,48.3745,,,15.85,15.8556,,,,,,Verbund Power Plant.csv
806,Veit,St. veit,,St. veit,Hydro,Hydro,,Hydro,,Barrage With Run-Of-River Generation,,,Austria,Austria,,Austria,16.5,16.0,,16.0,47.3833333,47.32135,,,12.6,13.1744,,,,,,Verbund Power Plant.csv
807,Schwarzach sbg,Schwarzach,,Schwarzach,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,120.0,120.0,,120.0,47.3833333,47.3152,,,12.6,13.1389,,,,,,Verbund Power Plant.csv
808,Cowes,Cowes ocgt,,Cowes,Oil,Natural Gas,,Natural Gas,,OCGT,,,United Kingdom,United Kingdom,,United Kingdom,160.0,140.0,,140.0,50.7577442247,50.7469,,51.4510191,-1.28814697266,-1.2862,,-0.9934913405,,,,UK Power Plant.csv
809,Niederaussem,Niederaussem,,Niederaußem,Coal,Coal,,Coal,,"Lignite, Thermal",,,Germany,Germany,,Germany,3826.0,3400.0,,3430.0,50.9955555556,50.9921,,50.9540994,6.6691666667,6.6666,,6.6407656,,,,Germany Power Plants (conventional).csv
810,Neurath,Neurath,,Neurath,Coal,Coal,,Coal,,"Lignite, Thermal",,,Germany,Germany,,Germany,2100.36,2205.0,,2068.0,51.05847857,51.03786,,51.0392708,6.582584716,6.61206,,6.5937467,,,,Germany Power Plants (conventional).csv
811,Weisweiler,Weisweiler,,Weisweiler,Coal,Coal,,Coal,,"Lignite, Thermal",,,Germany,Germany,,Germany,2480.0,2180.0,,1800.0,50.8331277,50.8387,,50.823655,6.314631688,6.3219,,6.3196177,,,,Germany Power Plants (conventional).csv
812,Aberthaw,Aberthaw,,Aberthaw,Coal,Coal,,Coal,,Thermal,,,United Kingdom,United Kingdom,,United Kingdom,1552.5,1500.0,,1586.0,51.387477,51.38731,,52.2928116,-3.406751,-3.4049,,-3.7389299,,,,UK Power Plant.csv
813,Huckingen,Duisberg huckingen,,Huckingen,Natural Gas,Natural Gas,,Natural Gas,,CHP,,,Germany,Germany,,Germany,614.0,606.0,,606.0,51.3666667,51.3762,,51.352237,6.7166667,6.7239,,6.7428813,,,,Germany Power Plants (conventional).csv
814,Dormagen rwe,Dormagen,,Dormagen,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,,Germany,Germany,,Germany,580.0,560.0,,586.3,51.08001594,51.079,,51.0941656,6.827090823,6.8288,,6.8407931,,,,Germany Power Plants (conventional).csv
815,Ibbenburen,Ibbenburen,,Ibbenbüren,Coal,Coal,,Coal,,Thermal,,,Germany,Germany,,Germany,808.0,838.0,,794.0,52.28881179,52.2865,,52.2774772,7.747906179,7.7464,,7.7151417,,,,Germany Power Plants (conventional).csv
816,Urreiting,Urreiting,,Urreiting,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,16.5,16.0,,16.0,47.3833333,47.37485,,,13.2166667,13.2101,,,,,,Verbund Power Plant.csv
817,Johann,St. johann,,St. johann,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,16.5,16.0,,16.0,47.3352778,47.33856,,,13.2988889,13.1974,,,,,,Verbund Power Plant.csv
818,Kreuzbergmaut,Kreuzbergmaut,,Kreuzbergmaut,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,17.7,18.0,,18.0,47.4166667,47.4412,,,13.2166667,13.2108,,,,,,Verbund Power Plant.csv
819,Bischofhofen,Bischofshofen,,Bischofshofen,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,16.0,16.0,,16.0,47.4166667,47.407,,,13.2166667,13.2205,,,,,,Verbund Power Plant.csv
820,Wehr,Wehr,,Wehr,Hydro,Hydro,,Hydro,,Pumped Storage,,,Germany,Germany,,Germany,900.0,992.0,,910.0,47.6298261183,47.6523,,47.6333054,7.9042339325,7.9262,,7.8999925,,,,Germany Power Plants (conventional).csv
821,Foyers,Foyers scotland,,Foyers falls,Hydro,Hydro,,Hydro,,Pumped Storage,,,United Kingdom,United Kingdom,,United Kingdom,305.0,300.0,,305.0,57.2530056227,57.2618,,56.7861112,-4.49126243591,-4.4835,,-4.1140517,,,,UK Power Plant.csv
822,Plate taille,Plate taille belgeium,,Plate taille,Hydro,Hydro,,Hydro,,Pumped Storage,,,Belgium,Belgium,,Belgium,140.0,144.0,,144.0,50.2284848583,50.1884,,,4.37753677368,4.3861,,,,,,Belgium Power Plant.csv
823,Ybbs persenberg,Ybbs persenburg,,Ybbs persenbeug,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,242.2,236.5,,236.0,,48.18916,,,,15.0682,,,,,,Verbund Power Plant.csv
824,Wallsee mitterkirchen,Wallsee mitterkirchen,,Wallsee mitterkirchen,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,212.4,210.0,,210.0,,48.16656,,,,14.6953,,,,,,Verbund Power Plant.csv
825,Annabrucke,Annabruecke,,Annabrücke,Hydro,Hydro,,Hydro,,Dam With Run-Of-River Generation,,,Austria,Austria,,Austria,90.0,90.0,,90.0,,46.5612,,,,14.4795,,,,,,Verbund Power Plant.csv
826,Coolkeeragh,Coolkeeragh esb northern,,Coolkeeragh,Natural Gas,Natural Gas,,Natural Gas,,CCGT,,OCGT,United Kingdom,United Kingdom,,United Kingdom,400.0,408.0,,461.0,,55.0437,,54.65688285,,-7.24868,,-6.5634352097,,,,UK Power Plant.csv
827,Kaprun oberstufe,Kaprun oberstufe limberg,,Kaprun oberstufe,Hydro,Hydro,,Hydro,,Pumped Storage,,,Austria,Austria,,Austria,112.8,113.0,,113.0,,47.1968,,,,12.71922,,,,,,Verbund Power Plant.csv
