,ENTSOE,WEPP
1027,1413.0,21150.0
1028,1415.0,21155.0
1029,1416.0,21161.0
1030,1417.0,17931.0
1031,1418.0,21164.0
1032,1419.0,21177.0
1033,1420.0,21192.0
1034,1421.0,21196.0
1035,1422.0,21201.0
1036,1423.0,21203.0
1037,1424.0,21213.0
1038,1425.0,21239.0
1039,1427.0,21286.0
1040,1428.0,21307.0
1041,1429.0,21320.0
1042,1430.0,21342.0
1043,1431.0,21351.0
1044,1432.0,9284.0
1045,1433.0,18018.0
1046,1439.0,4419.0
1047,1440.0,21444.0
1048,1441.0,21462.0
1049,1442.0,24750.0
1050,1443.0,9678.0
1051,1447.0,22684.0
1052,1448.0,22192.0
1053,1449.0,21520.0
1054,1450.0,21535.0
1055,1451.0,21536.0
1056,1454.0,21565.0
1057,1455.0,21583.0
1058,1456.0,21587.0
1059,1457.0,21592.0
1060,1461.0,21673.0
1061,1463.0,21734.0
1062,1464.0,21766.0
1063,1465.0,21786.0
1064,1468.0,21861.0
1065,1469.0,21890.0
1066,1471.0,21915.0
1067,1472.0,21949.0
1068,1473.0,21951.0
1069,1475.0,21993.0
1070,1476.0,22014.0
1071,1477.0,22035.0
1072,1478.0,22040.0
1073,1479.0,22076.0
1074,1483.0,22170.0
1075,1484.0,22173.0
1076,1485.0,22176.0
1077,1487.0,22184.0
1078,1488.0,22186.0
1079,1489.0,22217.0
1080,1490.0,22225.0
1081,1491.0,22228.0
1082,1492.0,22259.0
1083,1493.0,22262.0
1084,1495.0,22266.0
1085,1496.0,22269.0
1086,1498.0,22273.0
1087,1499.0,22283.0
1088,1501.0,22345.0
1089,1503.0,22416.0
1090,1505.0,22450.0
1091,1506.0,22453.0
1092,1507.0,22455.0
1093,1508.0,22481.0
1094,1509.0,22497.0
1095,1511.0,22578.0
1096,1512.0,22593.0
1097,1513.0,22598.0
1098,1514.0,19129.0
1099,1516.0,22685.0
1100,1517.0,22697.0
1101,1518.0,22698.0
1102,1523.0,431.0
1103,1524.0,1055.0
1104,1530.0,22722.0
1105,1526.0,10203.0
1106,1527.0,10690.0
1107,1528.0,17744.0
1108,1531.0,22726.0
1109,1532.0,22751.0
1110,1533.0,22770.0
1111,1534.0,22775.0
1112,1535.0,22787.0
1113,1536.0,22793.0
1114,1537.0,22794.0
