Name,Block,Technology,Capacity,DateIn,DateRetrofit,Country,lat,lon,Fueltype,source
Cernavodă,1,PHWR,650.0,1996,,Romania,44.322347222222,28.057280555556,Nuclear,
Cernavodă,2,PHWR,650.0,2007,,Romania,44.322347222222,28.057280555556,Nuclear,
Balakowo,1,WWER-1000/320,950.0,1985,2045,Russian Federation,52.094444444444,47.958333333333,Nuclear,
Balakowo,2,WWER-1000/320,950.0,1987,2033,Russian Federation,52.094444444444,47.958333333333,Nuclear,
Balakowo,3,WWER-1000/320,950.0,1988,2034,Russian Federation,52.094444444444,47.958333333333,Nuclear,
Balakowo,4,WWER-1000/320,950.0,1993,2023,Russian Federation,52.094444444444,47.958333333333,Nuclear,
Belojarsk,1,AMB-100,102.0,1964,1983,Russian Federation,56.85,61.316666666667,Nuclear,
Belojarsk,2,AMB-100,146.0,1969,1990,Russian Federation,56.85,61.316666666667,Nuclear,
Belojarsk,3,BN-600,560.0,1981,2025,Russian Federation,56.85,61.316666666667,Nuclear,
Belojarsk,4,BN-600,820.0,2016,,Russian Federation,56.85,61.316666666667,Nuclear,
Bilibino,1,GBWR-12/EGP-6,11.0,1974,2019,Russian Federation,68.050572,166.5391655,Nuclear,
Bilibino,2,GBWR-12/EGP-6,11.0,1974,2021,Russian Federation,68.050572,166.5391655,Nuclear,
Bilibino,3,GBWR-12/EGP-6,11.0,1975,2021,Russian Federation,68.050572,166.5391655,Nuclear,
Bilibino,4,GBWR-12/EGP-6,11.0,1976,2021,Russian Federation,68.050572,166.5391655,Nuclear,
Kalinin,1,WWER-1000/338,950.0,1984,2029,Russian Federation,57.906833333333,35.064166666667,Nuclear,
Kalinin,2,WWER-1000/338,950.0,1986,2032,Russian Federation,57.906833333333,35.064166666667,Nuclear,
Kalinin,3,WWER-1000/338,950.0,2004,2034,Russian Federation,57.906833333333,35.064166666667,Nuclear,
Kalinin,4,WWER-1000/338,950.0,2010,2042,Russian Federation,57.906833333333,35.064166666667,Nuclear,
Kola,1,WWER-440/230,411.0,1973,2033,Russian Federation,67.466666666667,32.466666666667,Nuclear,
Kola,2,WWER-440/230,411.0,1974,2034,Russian Federation,67.466666666667,32.466666666667,Nuclear,
Kola,3,WWER-440/230,411.0,1981,2026,Russian Federation,67.466666666667,32.466666666667,Nuclear,
Kola,4,WWER-440/230,411.0,1984,2029,Russian Federation,67.466666666667,32.466666666667,Nuclear,
Kursk,1,RBMK-1000 (1. Gen.),925.0,1976,2022,Russian Federation,51.675,35.605555555556,Nuclear,
Kursk,2,RBMK-1000 (1. Gen.),925.0,1979,2024,Russian Federation,51.675,35.605555555556,Nuclear,
Kursk,3,RBMK-1000 (1. Gen.),925.0,1983,2029,Russian Federation,51.675,35.605555555556,Nuclear,
Kursk,4,RBMK-1000 (1. Gen.),925.0,1985,2030,Russian Federation,51.675,35.605555555556,Nuclear,
Kursk II,1,WWER-V-510,1115.0,2023,,Russian Federation,51.675,35.605555555556,Nuclear,
Kursk II,2,WWER-V-510K,1115.0,2024,,Russian Federation,51.675,35.605555555556,Nuclear,
Leningrad (Sosnowy Bor),1,RBMK-1000 (1. Gen.),925.0,1973,2018,Russian Federation,59.8521,29.0512,Nuclear,
Leningrad (Sosnowy Bor),2,RBMK-1000 (1. Gen.),925.0,1975,2020,Russian Federation,59.8521,29.0512,Nuclear,
Leningrad (Sosnowy Bor),3,RBMK-1000 (2. Gen.),925.0,1979,2025,Russian Federation,59.8521,29.0512,Nuclear,
Leningrad (Sosnowy Bor),4,RBMK-1000 (2. Gen.),925.0,1981,2026,Russian Federation,59.8521,29.0512,Nuclear,
Leningrad II,1,WWER-1200/491,1085.0,2018,,Russian Federation,59.8305,29.0571,Nuclear,
Leningrad II,2,WWER-1200/491,1085.0,2021,,Russian Federation,59.8305,29.0571,Nuclear,
Nowoworonesch,1,WWER-210 ,197.0,1964,1988,Russian Federation,51.275,39.2,Nuclear,
Nowoworonesch,2,WWER-210 ,336.0,1969,1990,Russian Federation,51.275,39.2,Nuclear,
Nowoworonesch,3,WWER-210 ,385.0,1971,2016,Russian Federation,51.275,39.2,Nuclear,
Nowoworonesch,4,WWER-210 ,385.0,1972,2032,Russian Federation,51.275,39.2,Nuclear,
Nowoworonesch,5,WWER-210 ,950.0,1980,2035,Russian Federation,51.275,39.2,Nuclear,
Nowoworonesch II,1,WWER-1200/392M,1114.0,2016,2046,Russian Federation,51.26469,39.21287,Nuclear,
Nowoworonesch II,2,WWER-1200/392M,1114.0,2019,2049,Russian Federation,51.26469,39.21287,Nuclear,
Obninsk (APS-1),1,AM-1 (predecessor d. RBMK),5.0,1954,2002,Russian Federation,55.085319444444,36.574044444444,Nuclear,
"Kernkraftwerk Akademik Lomonossow , schwimmt in  Pewek",1,KLT-40S,32.0,2019,,Russian Federation,69.7,170.316667,Nuclear,
"Kernkraftwerk Akademik Lomonossow , schwimmt in  Pewek",2,KLT-40S,32.0,2019,,Russian Federation,69.7,170.316667,Nuclear,
Rostow,1,WWER-1000/320I,950.0,2001,2031,Russian Federation,47.599444444444,42.364166666667,Nuclear,
Rostow,2,WWER-1000/320I,950.0,2010,2040,Russian Federation,47.599444444444,42.364166666667,Nuclear,
Rostow,3,WWER-1000/320I,1011.0,2014,2045,Russian Federation,47.599444444444,42.364166666667,Nuclear,
Rostow,4,WWER-1000/320I,1011.0,2018,,Russian Federation,47.599444444444,42.364166666667,Nuclear,
Smolensk,1,RBMK-1000 (2. Gen.),925.0,1982,2028,Russian Federation,54.166666666667,33.233333333333,Nuclear,
Smolensk,2,RBMK-1000 (2. Gen.),925.0,1985,2030,Russian Federation,54.166666666667,33.233333333333,Nuclear,
